observation_date,Monthly_CPI,Monthly_Inflation,Monthly_Rate,Bank Rate
1967-12-01,2.94277503928594,0.9901960784,-0.9803921563,6
1968-01-01,3.02654215053873,1.028465347,2.846534653,6
1968-02-01,2.98283757073637,0.9855595668,-1.444043322,6
1968-03-01,2.92820684603124,0.9816849817,-1.83150183,5
1968-04-01,2.94277503928594,1.004975124,0.4975124375,5
1968-05-01,2.91728070105196,0.9913366337,-0.8663366344,5
1968-06-01,2.94277503928594,1.008739076,0.8739076163,5
1968-07-01,2.92820684603124,0.995049505,-0.4950495046,5
1968-08-01,2.99376371571565,1.02238806,2.23880597,5
1968-09-01,3.01197395728403,1.006082725,0.6082725057,5
1968-10-01,3.02654215053873,1.004836759,0.4836759368,5
1968-11-01,2.96098528085432,0.9783393502,-2.166064982,5
1968-12-01,2.87721816960153,0.9717097171,-2.82902829,5
1969-01-01,2.85900792799490,0.9936708861,-0.6329113933,5
1969-02-01,2.84443973474020,0.9949044586,-0.5095541398,5
1969-03-01,2.85900792799490,1.005121639,0.5121638921,5
1969-04-01,2.87721816960153,1.006369427,0.6369426761,5
1969-05-01,2.90999660442461,1.011392405,1.139240506,5
1969-06-01,2.99376371571565,1.028785982,2.878598249,5
1969-07-01,3.01197395728403,1.006082725,0.6082725057,5
1969-08-01,3.01197395728403,1,0,5
1969-09-01,3.01197395728403,1,0,5
1969-10-01,2.99376371571565,0.9939540508,-0.604594921,5
1969-11-01,2.97919552242270,0.9951338199,-0.4866180058,5
1969-12-01,2.97919552242270,1,0,5
1970-01-01,2.97919552242270,1,0,5
1970-02-01,2.97919552242270,1,0,5
1970-03-01,3.01197395728403,1.011002445,1.100244499,5
1970-04-01,3.04475239210711,1.010882709,1.088270858,5
1970-05-01,3.07753082696844,1.01076555,1.076555025,5
1970-06-01,3.11395131014345,1.01183432,1.183431953,5
1970-07-01,3.12851950339815,1.004678363,0.467836257,5
1970-08-01,3.14672974496653,1.005820722,0.5820721766,5
1970-09-01,3.16129793822123,1.00462963,0.4629629627,5
1970-10-01,3.17950817982786,1.005760369,0.5760368672,5
1970-11-01,3.17950817982786,1,0,5
1970-12-01,3.12851950339815,0.9839633448,-1.603665521,5
1971-01-01,3.09574106853682,0.9895227008,-1.047729919,6
1971-02-01,3.09574106853682,1,0,6
1971-03-01,3.09574106853682,1,0,6
1971-04-01,3.09574106853682,1,0,6
1971-05-01,3.09574106853682,1,0,6
1971-06-01,3.14672974496653,1.016470588,1.647058824,6
1971-07-01,3.19771842139624,1.016203704,1.620370371,6
1971-08-01,3.26327529108065,1.020501139,2.050113895,6
1971-09-01,3.29605372594198,1.010044643,1.004464286,6
1971-10-01,3.29605372594198,1,0,6
1971-11-01,3.31426396751036,1.005524862,0.5524861875,6
1971-12-01,3.28148553264903,0.9901098901,-0.9890109895,6
1972-01-01,3.26327529108065,0.9944506104,-0.5549389564,6
1972-02-01,3.24506504951227,0.9944196429,-0.5580357139,6
1972-03-01,3.26327529108065,1.005611672,0.5611672275,6
1972-04-01,3.28148553264903,1.005580357,0.5580357139,6
1972-05-01,3.29605372594198,1.004439512,0.4439511663,6
1972-06-01,3.37982083719477,1.025414365,2.541436464,6
1972-07-01,3.44901975519286,1.020474138,2.047413793,6
1972-08-01,3.48179819005419,1.009503696,0.9503695887,6
1972-09-01,3.50000843162257,1.005230126,0.523012552,6
1972-10-01,3.51457662487727,1.004162331,0.4162330903,6
1972-11-01,3.53278686644565,1.005181347,0.5181347147,6
1972-12-01,3.53278686644565,1,0,6
1973-01-01,3.53278686644565,1,0,6
1973-02-01,3.58377554287536,1.01443299,1.443298969,6
1973-03-01,3.63476421930507,1.014227642,1.422764228,6
1973-04-01,3.71853133055786,1.023046092,2.304609218,6
1973-05-01,3.83507687667198,1.031341822,3.134182174,7
1973-06-01,3.91884398796302,1.021842355,2.184235518,7
1973-07-01,4.08637821046860,1.042750929,4.275092936,7
1973-08-01,4.15557712850494,1.016934046,1.693404635,7
1973-09-01,4.17378737007332,1.004382121,0.4382120944,7
1973-10-01,4.27212267458081,1.023560209,2.356020942,7
1973-11-01,4.35588978587185,1.019607843,1.960784314,7
1973-12-01,4.37410002744023,1.004180602,0.4180602004,7
1974-01-01,4.43965689712464,1.01498751,1.498751041,7
1974-02-01,4.49064557355435,1.011484824,1.148482363,7
1974-03-01,4.62540136123685,1.03000811,3.00081103,7
1974-04-01,4.76015714891935,1.029133858,2.913385827,7
1974-05-01,4.94590161303156,1.039020658,3.9020658,7
1974-06-01,5.06244715914568,1.023564065,2.35640648,7
1974-07-01,5.23362343000319,1.03381295,3.381294964,9
1974-08-01,5.40115765254702,1.032011134,3.201113431,9
1974-09-01,5.61968055148231,1.04045853,4.045853,9
1974-10-01,5.63424874477526,1.002592353,0.2592352565,9
1974-11-01,5.56869187505260,0.9883645766,-1.163542341,9
1974-12-01,5.48492476379981,0.9849574886,-1.504251144,9
1975-01-01,5.48492476379981,1,0,9
1975-02-01,5.46671452223143,0.9966799469,-0.3320053119,9
1975-03-01,5.40115765254702,0.9880079947,-1.199200533,9
1975-04-01,5.43393608737010,1.006068779,0.6068779497,9
1975-05-01,5.49949295705451,1.012064343,1.206434316,9
1975-06-01,5.51770319866114,1.003311258,0.3311258283,9
1975-07-01,5.45214632897673,0.9881188119,-1.188118812,9
1975-08-01,5.40115765254702,0.9906479626,-0.9352037409,9
1975-09-01,5.36837921768569,0.9939312205,-0.6068779504,9
1975-10-01,5.31739054125598,0.9905020353,-0.9497964723,9
1975-11-01,5.29918029968760,0.9965753425,-0.3424657532,9
1975-12-01,5.14621427043672,0.9711340206,-2.886597938,9
1976-01-01,5.01510053102965,0.974522293,-2.547770701,9
1976-02-01,4.88034474334715,0.9731299927,-2.687000726,9
1976-03-01,4.81114582534906,0.9858208955,-1.417910448,9
1976-04-01,4.86213450177877,1.010598032,1.05980318,9
1976-05-01,4.88034474334715,1.003745318,0.374531835,9
1976-06-01,4.89491293664010,1.002985075,0.2985074633,9
1976-07-01,4.99689028946127,1.020833333,2.083333333,9
1976-08-01,5.01510053102965,1.003644315,0.3644314867,9
1976-09-01,5.08065740075231,1.013071895,1.307189543,9
1976-10-01,5.11343583557539,1.006451613,0.6451612899,9
1976-11-01,5.14621427043672,1.006410256,0.6410256414,9
1976-12-01,5.14621427043672,1,0,9
1977-01-01,5.16442451200510,1.00353857,0.3538570415,9
1977-02-01,5.21541318843481,1.009873061,0.987306065,9
1977-03-01,5.24819162325789,1.006284916,0.6284916197,9
1977-04-01,5.26640186486452,1.003469813,0.3469812635,9
1977-05-01,5.35016897611731,1.015905947,1.590594744,9
1977-06-01,5.38294741094039,1.006126617,0.6126616742,9
1977-07-01,5.46671452223143,1.01556157,1.556156969,9
1977-08-01,5.49949295705451,1.005996003,0.5996002661,9
1977-09-01,5.56869187505260,1.012582781,1.258278146,9
1977-10-01,5.55048163348422,0.9967298888,-0.3270111182,9
1977-11-01,5.55048163348422,1,0,9
1977-12-01,5.55048163348422,1,0,9
1978-01-01,5.46671452223143,0.9849081365,-1.509186351,9
